analysis,group,variant,images,instances,AP,AP50,AP75,TP,FP,FN,AI
stage,Post-Flowering,Ours,649,30845,36.24442198434528,71.47398038042593,32.94698966780247,19868,3166,10977,0.5703804343310998
stage,Filling,Ours,331,12256,38.39666241405596,74.64054249658085,35.01787478980578,8438,1632,3818,0.48540836442745117
stage,Filling-Ripening,Ours,139,11515,26.649125805010616,58.871473073360804,20.4784591318764,6593,1720,4922,0.5042157436290521
stage,Ripening,Ours,262,12815,22.736697674549564,51.016468850030805,17.352994666078573,6077,1957,6738,0.3034301267964354
occlusion,Low (<10%),Baseline,1333,48905,21.297974760090156,56.4779038006196,11.518626515187433,26919,10476,21986,0.42256344803046264
occlusion,Medium (10-30%),Baseline,1166,9749,14.145985436275934,40.75605452200543,6.84914419913321,5339,9801,4410,0.2784331924533816
occlusion,High (>30%),Baseline,1045,8777,8.190693361728787,26.36731999661988,3.5820498922554,3575,9013,5202,0.18890294072689595
occlusion,Low (<10%),UGDR,1333,48905,27.04260117993315,60.58330160768809,20.35696632510548,27546,8404,21359,0.4464650406825524
occlusion,Medium (10-30%),UGDR,1166,9749,18.114446460167237,45.39284875784374,11.43142567523861,5283,7409,4466,0.3045176946704485
occlusion,High (>30%),UGDR,1045,8777,10.362285244933446,29.796716929091723,5.1143557557784725,3441,6701,5336,0.20633171929264857
