epoch,Baseline_AP,Baseline_AP75,ASWB_AP,ASWB_AP75,MSIA_AP,MSIA_AP75,UGDR_AP,UGDR_AP75,ASWB_MSIA_AP,ASWB_MSIA_AP75,ASWB_UGDR_AP,ASWB_UGDR_AP75,MSIA_UGDR_AP,MSIA_UGDR_AP75,Ours_AP,Ours_AP75
37,20.804294,13.657256,22.052776,15.186859,20.933207,13.756149,25.619204,21.450871,22.866552,15.655063,27.624828,23.679018,25.667836,20.83346,27.11038,22.678712
38,20.862114,13.565567,22.346409,15.549376,21.099183,13.872772,25.797911,21.492458,23.284073,16.1734,27.827253,23.869513,25.651838,20.866384,27.316778,22.935727
39,20.9405,13.517838,22.674861,15.798654,21.281075,13.978908,25.940401,21.590447,23.666523,16.609101,28.054116,24.111228,25.787695,21.006119,27.602609,23.460113
40,20.974489,13.392306,22.984358,16.234464,21.479789,14.300305,26.035599,21.632093,24.05988,17.096745,28.321072,24.442374,25.853898,21.00676,27.877901,23.658141
41,21.034004,13.378594,23.302251,16.568852,21.633786,14.395806,26.123781,21.625848,24.41017,17.454235,28.577736,24.720679,25.775127,21.011018,28.149827,24.13723
42,21.102398,13.305535,23.61075,16.905312,21.790756,14.536652,26.146089,21.61178,24.891662,18.084123,28.784425,24.954935,25.844683,21.017163,28.402074,24.395661
43,21.146795,13.216341,23.920544,17.365967,21.985681,14.652351,26.172059,21.537117,25.24345,18.501631,29.028491,25.117164,25.973743,21.08743,28.695973,24.569289
44,21.216694,13.160427,24.26263,17.676933,22.185333,14.785712,26.193438,21.521706,25.617304,19.061799,29.26708,25.543456,26.093067,21.185146,29.005463,25.035068
45,21.224007,13.137748,24.529655,18.063341,22.39092,15.126351,26.277582,21.541988,26.006333,19.628372,29.415866,25.71844,26.172939,21.248553,29.245579,25.329173
46,21.419166,13.151516,24.791997,18.379342,22.56993,15.31832,26.327588,21.465511,26.371261,20.012012,29.683694,25.857465,26.303536,21.296273,29.467367,25.532669
47,21.526247,13.160478,25.06842,18.621922,22.771615,15.445804,26.364132,21.434252,26.667952,20.32093,29.848211,26.014241,26.426955,21.349172,29.722348,25.764836
48,21.570395,13.147375,25.292007,19.000851,23.011766,15.807209,26.513942,21.473434,27.006702,20.851575,29.988684,26.112711,26.563771,21.37439,29.926468,26.135137
49,21.569741,13.088628,25.463705,19.176969,23.124404,15.944497,26.544603,21.464308,27.367025,21.217991,30.115165,26.371149,26.729396,21.658355,30.196967,26.370765
50,21.607716,13.103431,25.45287,19.205849,23.328841,16.042997,26.603495,21.422898,27.693508,21.854764,30.318224,26.52558,26.859214,21.7519,30.394129,26.541554
51,21.650547,13.081434,25.613484,19.314565,23.456997,16.125742,26.675996,21.349563,27.994992,22.169262,30.521461,26.700094,26.937121,21.788843,30.531316,26.707489
52,21.74154,13.132196,25.767844,19.397036,23.620633,16.235737,26.729823,21.289588,28.266292,22.424451,30.692807,26.877173,27.059389,21.847025,30.657037,26.824396
53,21.847238,13.168475,25.879652,19.62576,23.754887,16.390157,26.763491,21.241137,28.52385,22.917856,30.831161,27.035052,27.122432,21.916073,30.898018,27.007302
54,21.889346,13.179971,26.074013,19.834354,23.981186,16.72022,26.778841,21.1947,28.731385,23.174357,30.923248,27.146927,27.27231,22.055922,31.031501,27.351726
55,21.962679,13.176665,26.032194,19.81589,24.108259,16.84555,26.808652,21.202024,28.964231,23.385057,31.115026,27.441788,27.361864,22.096141,31.220613,27.508054
56,21.999358,13.164727,26.125032,19.883881,24.324126,17.018225,26.870136,21.221419,29.147432,23.586323,31.25228,27.555746,27.455916,22.092982,31.337595,27.655805
57,22.001949,13.106694,26.205402,19.931119,24.430872,17.085305,26.934986,21.202797,29.315451,23.902774,31.390647,27.5599,27.548867,22.154489,31.480791,27.76531
58,22.009962,13.121593,26.216692,19.869341,24.564859,17.189706,26.975902,21.202464,29.409967,23.985833,31.482517,27.592312,27.641438,22.229022,31.613048,27.814427
59,22.023589,13.090296,26.326105,19.869712,24.703285,17.31636,26.955161,21.114377,29.494767,24.018282,31.525067,27.596052,27.746582,22.253177,31.733395,27.903039
60,22.022765,13.087624,26.361801,19.831166,24.855512,17.50713,26.973382,21.053933,29.565779,24.082041,31.588064,27.649642,27.828114,22.548041,31.822938,27.996958
61,22.066603,13.160496,26.380527,19.799276,24.915068,17.546019,26.980826,21.060098,29.553243,24.149479,31.646487,27.712271,27.90633,22.582388,31.893106,28.04474
62,22.123195,13.174338,26.346337,19.719796,25.122671,17.668979,27.067082,21.065564,29.5903,24.147445,31.706647,27.681702,28.011943,22.631717,31.959758,28.056026
63,22.095558,13.112683,26.314871,19.668146,25.219978,17.76475,27.030345,20.985533,29.595229,24.085287,31.807653,27.70553,28.1598,22.69706,31.982814,28.067366
64,22.099147,13.052387,26.312335,19.622433,25.273028,17.771236,27.025276,20.95926,29.556953,23.974201,31.807877,27.662914,28.283842,22.768539,32.100607,28.093898
65,22.098248,13.049459,26.263875,19.508322,25.329938,17.761527,27.012917,20.876382,29.413469,23.665265,31.806642,27.647523,28.323734,22.837356,32.124491,28.086729
66,22.134188,13.041507,26.21929,19.429668,25.329841,17.71327,27.004314,20.858399,29.375862,23.623952,31.822664,27.583851,28.383045,22.795104,32.184339,28.056533
67,22.155512,13.091859,26.16516,19.130195,25.394115,17.71271,26.910887,20.560126,29.299703,23.463025,31.817222,27.513789,28.400466,22.753984,32.195091,27.997513
68,22.171019,13.075642,26.104266,18.99925,25.407244,17.673179,26.866513,20.431973,29.205764,23.32324,31.780295,27.402905,28.425691,22.769221,32.203564,27.961124
69,22.161133,13.062376,26.026169,18.854789,25.45867,17.742134,26.848797,20.417933,29.1143,23.096877,31.754403,27.303613,28.403642,22.683934,32.233696,27.859659
70,22.19848,13.102266,25.887019,18.67097,25.459293,17.706297,26.874199,20.366096,29.012214,22.905432,31.689999,26.997439,28.346587,22.578154,32.247069,27.833583
71,22.17846,13.059962,25.797548,18.533628,25.525151,17.600727,26.985236,20.292625,28.870144,22.559943,31.664921,26.918765,28.369816,22.47528,32.223441,27.757456
