epoch,ASWB_given_MSIA_UGDR_AP,ASWB_given_MSIA_UGDR_AP_ma5,ASWB_given_MSIA_UGDR_AP75,ASWB_given_MSIA_UGDR_AP75_ma5,MSIA_given_ASWB_UGDR_AP,MSIA_given_ASWB_UGDR_AP_ma5,MSIA_given_ASWB_UGDR_AP75,MSIA_given_ASWB_UGDR_AP75_ma5,UGDR_given_ASWB_MSIA_AP,UGDR_given_ASWB_MSIA_AP_ma5,UGDR_given_ASWB_MSIA_AP75,UGDR_given_ASWB_MSIA_AP75_ma5
44,2.912396,2.518144,3.849921,3.297574,-0.261617,-0.369513,-0.508388,-0.596644,3.388159,3.581754,5.973269,6.319371
45,3.07264,2.727871,4.08062,3.583422,-0.170286,-0.314936,-0.389267,-0.517651,3.239246,3.465999,5.700801,6.147252
46,3.163831,2.885698,4.236396,3.805459,-0.216327,-0.27262,-0.324796,-0.46592,3.096106,3.337289,5.520657,5.914785
47,3.295393,3.033298,4.415663,4.012892,-0.125863,-0.221322,-0.249406,-0.403946,3.054396,3.246086,5.443906,5.741258
48,3.362697,3.161392,4.760748,4.26867,-0.062216,-0.167262,0.022427,-0.289886,2.919766,3.139535,5.283562,5.584439
49,3.467571,3.272426,4.71241,4.441167,0.081802,-0.098578,-0.000384,-0.188285,2.829942,3.027891,5.152774,5.42034
50,3.534916,3.364882,4.789654,4.582974,0.075905,-0.04934,0.015974,-0.107237,2.700621,2.920166,4.686789,5.217538
51,3.594195,3.450954,4.918645,4.719424,0.009856,-0.004103,0.007395,-0.040799,2.536324,2.80821,4.538227,5.021052
52,3.597648,3.511405,4.977371,4.831766,-0.03577,0.013915,-0.052777,-0.001473,2.390745,2.67548,4.399945,4.81226
53,3.775586,3.593983,5.091229,4.897862,0.066857,0.03973,-0.02775,-0.011508,2.374168,2.56636,4.089446,4.573436
54,3.759191,3.652307,5.295804,5.014541,0.108254,0.04502,0.204799,0.029528,2.300117,2.460395,4.177369,4.378355
55,3.858749,3.717074,5.411913,5.138992,0.105587,0.050957,0.066266,0.039587,2.256382,2.371547,4.122997,4.265597
56,3.881679,3.774571,5.562823,5.267828,0.085315,0.066048,0.100059,0.05812,2.190163,2.302315,4.069482,4.171848
57,3.931924,3.841426,5.610821,5.394518,0.090144,0.091231,0.205411,0.109757,2.16534,2.257234,3.862536,4.064366
58,3.97161,3.880631,5.585405,5.493353,0.13053,0.103966,0.222115,0.15973,2.203081,2.223016,3.828594,4.012196
59,3.986813,3.926155,5.649862,5.564165,0.208328,0.123981,0.306986,0.180167,2.238628,2.210719,3.884757,3.953673
60,3.994824,3.95337,5.448918,5.571566,0.234873,0.149838,0.347317,0.236378,2.257158,2.210874,3.914918,3.912057
61,3.986776,3.974389,5.462352,5.551472,0.246618,0.182099,0.332469,0.28286,2.339863,2.240814,3.895261,3.877213
62,3.947815,3.977568,5.424308,5.514169,0.253111,0.214692,0.374324,0.316642,2.369458,2.281638,3.90858,3.886422
63,3.823013,3.947848,5.370306,5.471149,0.175161,0.223618,0.361836,0.344586,2.387584,2.318538,3.982079,3.917119
64,3.816765,3.913839,5.325359,5.406249,0.29273,0.240499,0.430984,0.369386,2.543653,2.379543,4.119697,3.964107
65,3.800757,3.875025,5.249373,5.36634,0.317849,0.257094,0.439206,0.387764,2.711022,2.470316,4.421464,4.065416
66,3.801293,3.837929,5.261429,5.326155,0.361675,0.280105,0.472682,0.415806,2.808477,2.564039,4.43258,4.17288
67,3.794625,3.807291,5.243529,5.289999,0.377869,0.305057,0.483724,0.437687,2.895388,2.669225,4.534488,4.298062
68,3.777873,3.798263,5.191903,5.254318,0.423269,0.354678,0.55822,0.476963,2.9978,2.791268,4.637884,4.429223
69,3.830053,3.80092,5.175725,5.224392,0.479293,0.391991,0.556046,0.501976,3.119396,2.906417,4.762782,4.55784
70,3.900482,3.820865,5.255429,5.225603,0.55707,0.439835,0.836143,0.581363,3.234855,3.011183,4.928151,4.659177
71,3.853625,3.831332,5.282176,5.229752,0.55852,0.479204,0.838691,0.654565,3.353297,3.120147,5.197512,4.812163
