batch,candidate_rank,density_group,domain,growth_stage,image_id,target_index,uncertainty,reliability,iou,localization_error,occlusion_ratio,selection_rank
976,21,30-40,UQ_11,Post-Flowering,977,0,0.4851076900959015,0.8117175698280334,0.0,1.0,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,1,0.3991740942001343,0.8450705409049988,0.5836052894592285,0.4163947105407715,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,2,0.39102327823638916,0.8482340574264526,0.7588871717453003,0.2411128282546997,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,3,0.37873974442481995,0.8530016541481018,0.809819757938385,0.190180242061615,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,4,0.34666985273361206,0.8654487729072571,0.7956092953681946,0.20439070463180542,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,5,0.37320834398269653,0.8551484942436218,0.7448930144309998,0.25510698556900024,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,6,0.4351436197757721,0.831109881401062,0.521287202835083,0.478712797164917,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,7,0.49222248792648315,0.8089561462402344,0.299381822347641,0.700618177652359,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,8,0.5549302101135254,0.7846177220344543,0.36424094438552856,0.6357590556144714,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,9,0.4680892825126648,0.8183228373527527,0.2821630537509918,0.7178369462490082,0.12828947603702545,1
976,21,30-40,UQ_11,Post-Flowering,977,10,0.3614274561405182,0.8597209453582764,0.7778770327568054,0.22212296724319458,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,11,0.4485105872154236,0.8259218335151672,0.0,1.0,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,12,0.3966558873653412,0.8460479378700256,0.5774782299995422,0.42252177000045776,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,13,0.3889099657535553,0.8490543365478516,0.17649583518505096,0.823504164814949,0.09774436056613922,1
976,21,30-40,UQ_11,Post-Flowering,977,14,0.33765408396720886,0.8689479827880859,0.43903079628944397,0.560969203710556,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,15,0.3404671549797058,0.8678561449050903,0.8154585957527161,0.18454140424728394,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,16,0.4293100833892822,0.8333740234375,0.47315698862075806,0.5268430113792419,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,17,0.4713881015777588,0.8170424699783325,0.8462624549865723,0.15373754501342773,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,18,0.4270421266555786,0.834254264831543,0.4171525835990906,0.5828474164009094,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,19,0.38714733719825745,0.8497384786605835,0.6037744879722595,0.3962255120277405,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,20,0.4510836601257324,0.8249231576919556,0.13438500463962555,0.8656149953603745,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,21,0.37165993452072144,0.8557494878768921,0.36851000785827637,0.6314899921417236,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,22,0.348557710647583,0.8647160530090332,0.6533686518669128,0.34663134813308716,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,23,0.3978111743927002,0.8455995321273804,0.6283855438232422,0.3716144561767578,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,24,0.3515692949295044,0.8635472059249878,0.8055639266967773,0.19443607330322266,0.03323615342378616,1
976,21,30-40,UQ_11,Post-Flowering,977,25,0.49601322412490845,0.8074848651885986,0.3424943685531616,0.6575056314468384,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,26,0.4694647789001465,0.8177889585494995,0.38966718316078186,0.6103328168392181,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,27,0.47834962606430054,0.8143405318260193,0.35710781812667847,0.6428921818733215,0.06031746044754982,1
976,21,30-40,UQ_11,Post-Flowering,977,28,0.4311283230781555,0.8326683044433594,0.39039167761802673,0.6096083223819733,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,29,0.42886480689048767,0.8335468173027039,0.2808549106121063,0.7191450893878937,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,30,0.4393043518066406,0.8294950127601624,0.8040085434913635,0.19599145650863647,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,31,0.39481204748153687,0.846763551235199,0.7651141285896301,0.23488587141036987,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,32,0.49819216132164,0.8066391348838806,0.4415709376335144,0.5584290623664856,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,33,0.494144082069397,0.8082103133201599,0.7169505953788757,0.28304940462112427,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,34,0.4942370057106018,0.8081742525100708,0.7469204664230347,0.25307953357696533,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,35,0.4947344958782196,0.8079811334609985,0.5727613568305969,0.4272386431694031,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,36,0.46248793601989746,0.8204968571662903,0.0,1.0,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,37,0.4835711717605591,0.8123139142990112,0.5309590101242065,0.46904098987579346,0.0,1
976,21,30-40,UQ_11,Post-Flowering,977,38,0.3920135796070099,0.8478497266769409,0.4792845547199249,0.5207154452800751,0.0,1
850,40,70-80,KSU_3,Filling,851,0,0.27751708030700684,0.8922886848449707,0.7597772479057312,0.2402227520942688,0.4488461911678314,2
