image_id,file_name,instances,density_group,density_source,domain,domain_source,growth_stage,stage_source,mean_instance_occlusion,occlusion_group,selection_rank,selection_phase,selection_stratum,alpha_scale,speed_scale,dynamic_alpha,dynamic_speed,alpha_mapping,input_high_frequency_ratio,output_high_frequency_ratio,high_frequency_ratio_change,aswb_relative_change,msia_input_relative_change,msia_output_relative_change,decoder_logits_relative_change,decoder_boxes_relative_change,normal_mean_nodes_per_hyperedge,bypass_mean_nodes_per_hyperedge,normal_degree_std,bypass_degree_std,topology_jaccard,topology_change_fraction
1271,ef23f37742204651ceacc809f7fe62d4d2c0521ad2c8018e772474429b52ae59.png,33,30-40,authoritative_subset_annotations,KSU_4,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.10372333852144257,Medium (10-30%),1,marginal_group_coverage,KSU_4 | 30-40 | Ripening,0.4630325138568878,0.4920453727245331,0.13054512441158295,1.1444318294525146,inverse,0.1680624634027481,0.0019347453489899635,-0.16612771805375814,1.2635811567306519,0.4546821713447571,0.28064537048339844,0.45353230834007263,0.6374922394752502,136.81625,81.935,159.5978970285558,107.64349504266387,0.5178936960066614,0.04342421875
58,0aa03405bc8a993d4b9b661f4564d8465f020aa1bb7b2d8994baa734f18cfa8a.png,90,80-100,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.1284326295868071,Medium (10-30%),2,marginal_group_coverage,UQ_10 | 80-100 | Filling-Ripening,0.45837658643722534,0.48737841844558716,0.1312435120344162,1.1411648988723755,inverse,0.14594195783138275,0.002950236201286316,-0.14299172163009644,1.3048313856124878,0.5238326191902161,0.32165226340293884,0.6595278978347778,0.7017515301704407,315.58875,205.3775,287.7053955410595,211.2269395549488,0.5807573562320314,0.08635546875
810,9a89c5fc7dd18e9da767cc0e410b6ae10c989861c0058078ef59de0f1413e62b.png,50,50-60,authoritative_subset_annotations,ARC_1,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.08327009663042327,Low (<10%),3,marginal_group_coverage,ARC_1 | 50-60 | Filling,0.45937901735305786,0.48389509320259094,0.13109314441680908,1.1387265920639038,inverse,0.15988081693649292,0.0020681526511907578,-0.15781266428530216,1.2835841178894043,0.4856499135494232,0.31442782282829285,0.5064438581466675,0.7043033242225647,234.3675,179.015,240.6430420638627,203.94815462513998,0.599367422245651,0.06471875
236,2a47f78c1f8919ccb888ff1d3da4cab3db4ef9eaaaef53745220f7f0ad1510c1.png,66,60-70,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.21220952419129036,Medium (10-30%),4,marginal_group_coverage,Ukyoto_1 | 60-70 | Post-Flowering,0.44931545853614807,0.45808619260787964,0.13260269165039062,1.1206603050231934,inverse,0.09213022142648697,0.007206458132714033,-0.08492376329377294,1.2081899642944336,0.2440595179796219,0.1986686736345291,0.5583852529525757,0.6414216160774231,82.8725,71.0725,99.65681734708369,90.77602791348605,0.6171542623036924,0.022778125
1303,f396bf5c9b1bc884ab843338d88c7fd2c7733ee0610fede3607bfaeb3eecf8cd.png,40,40-50,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.02266673618716867,Low (<10%),5,marginal_group_coverage,Terraref_1 | 40-50 | Ripening,0.4650961458683014,0.4912984073162079,0.13023558259010315,1.1439088582992554,inverse,0.1704670935869217,0.002011735923588276,-0.16845535766333342,1.3211199045181274,0.5694094896316528,0.35110247135162354,0.47860926389694214,0.8321188688278198,294.67125,207.145,256.397193185568,203.11639883327985,0.541394059466765,0.09331484375
343,3d3dbc1bfd2d0c8e7f1d39e48341a99a1652c16dcae0d64497e226649c919211.png,9,0-10,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.0,Low (<10%),6,marginal_group_coverage,Terraref_2 | 0-10 | Filling,0.45860031247138977,0.48570460081100464,0.13120995461940765,1.1399931907653809,inverse,0.15829478204250336,0.0020449054427444935,-0.15624987659975886,1.2685556411743164,0.6396440267562866,0.3831183612346649,0.4396793246269226,0.718202531337738,273.38375,159.05875,245.54533234402462,172.35167985383111,0.4614357769873523,0.0996015625
936,b320f9f3b341ac6bbcf3e30cd53450adf92637a95f2b03e8f43fac1e970d1640.png,127,>100,authoritative_subset_annotations,UQ_8,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.11629113507268499,Medium (10-30%),7,marginal_group_coverage,UQ_8 | >100 | Ripening,0.4669919013977051,0.4864860773086548,0.12995122373104095,1.1405402421951294,inverse,0.115961953997612,0.002726559527218342,-0.11323539447039366,1.3031253814697266,0.5164487361907959,0.36247971653938293,0.6421664953231812,0.7776016592979431,188.06375,141.26375,212.98086694803715,166.71229839438212,0.5937258033294619,0.0524703125
1075,cd6a1becf70c3d1fbc8315f96d9374161e0debc9cb741b96c4f534cebadf4d07.png,26,20-30,authoritative_subset_annotations,CIMMYT_3,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.029177335635629385,Low (<10%),8,marginal_group_coverage,CIMMYT_3 | 20-30 | Post-Flowering,0.46165645122528076,0.4912342131137848,0.13075153529644012,1.1438639163970947,inverse,0.16532790660858154,0.0018669668352231383,-0.1634609397733584,1.2487692832946777,0.5781205892562866,0.35387367010116577,0.37284407019615173,0.6105976700782776,386.44625,258.18,322.1654402026038,249.67302637649908,0.6068304963809773,0.09858203125
484,5d8aeadb88917be3bdbc9dbc3b9864c4c73eac71ba6ae0963d27ab1cb9b1d633.png,79,70-80,authoritative_subset_annotations,NAU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.02344408224859028,Low (<10%),9,marginal_group_coverage,NAU_2 | 70-80 | Post-Flowering,0.454067587852478,0.4885944128036499,0.13188986480236053,1.142016053199768,inverse,0.15691974759101868,0.001832527224905789,-0.1550872203661129,1.2865008115768433,0.5100765824317932,0.3127500116825104,0.5235320925712585,0.7056682705879211,220.55625,184.7925,235.77207868180128,205.58740706509727,0.619209067758526,0.05957890625
716,8b1981c667df62d047a601f829e180fb14aba73126685b751a12a949eb10c576.png,18,10-20,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%),10,marginal_group_coverage,UQ_11 | 10-20 | Post-Flowering,0.45847395062446594,0.48532339930534363,0.13122890889644623,1.1397264003753662,inverse,0.15091343224048615,0.0018755337223410606,-0.14903789851814508,1.2671406269073486,0.6342721581459045,0.380295991897583,0.5537086129188538,0.6952391266822815,674.6175,500.505,392.78009743843944,346.1728632128752,0.6360798045262477,0.1633671875
950,b522035f3cba03dbedbae313148c4a925fd7d76b0dba9ba5496fdc251fc5e773.png,59,50-60,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.09008772166402192,Low (<10%),11,marginal_group_coverage,KSU_1 | 50-60 | Post-Flowering,0.4539271295070648,0.4886152446269989,0.13191093504428864,1.1420307159423828,inverse,0.1604457050561905,0.0017155836103484035,-0.1587301214458421,1.3127808570861816,0.5107719898223877,0.2908298075199127,0.5020408630371094,0.7191404700279236,319.6125,212.43875,286.19198729829947,213.81663288537098,0.5963552898553443,0.08408203125
100,12c14f1e8a325bca721548ea06d4d00e4ae9d80b8b0dd24841d63a4abcb86aa4.png,48,40-50,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0337452177121263,Low (<10%),12,marginal_group_coverage,CIMMYT_1 | 40-50 | Post-Flowering,0.4713338315486908,0.49790868163108826,0.12929992377758026,1.1485360860824585,inverse,0.16779737174510956,0.0017341193743050098,-0.16606325237080455,1.2502374649047852,0.5887320041656494,0.38780733942985535,0.49551695585250854,0.7264728546142578,393.6575,292.9675,317.53316786400444,267.66218250576605,0.6054409044012988,0.1054671875
