variant,modules,epoch,seed,AP,AP75
Baseline,Baseline,0,42,0.7327021277726464,0.27577913753436567
Baseline,Baseline,1,42,5.667512184355301,3.0387049073619194
Baseline,Baseline,2,42,7.681425916649324,5.238379218381079
Baseline,Baseline,3,42,9.414362380385825,5.998239673184032
Baseline,Baseline,4,42,14.52926580471425,10.6887370728492
Baseline,Baseline,5,42,13.828820588470995,9.630711323361744
Baseline,Baseline,6,42,15.135937885040192,10.22967003308899
Baseline,Baseline,7,42,16.38523559134777,11.716227136138134
Baseline,Baseline,8,42,16.16616240255214,10.591907041782623
Baseline,Baseline,9,42,16.998364459595713,11.553406537994617
Baseline,Baseline,10,42,18.57836660744543,13.054014835230488
Baseline,Baseline,11,42,18.21664696160238,12.336043718581728
Baseline,Baseline,12,42,18.34943769043059,12.472465409504897
Baseline,Baseline,13,42,18.842211133570345,12.954702153352315
Baseline,Baseline,14,42,18.793926287596314,12.69657084983962
Baseline,Baseline,15,42,18.816802563625988,12.716928214498841
Baseline,Baseline,16,42,19.02766305685798,12.984610490706174
Baseline,Baseline,17,42,19.238211551860037,13.128377574442782
Baseline,Baseline,18,42,19.461494553052,13.348145371699038
Baseline,Baseline,19,42,19.54205901289329,13.385703437172749
Baseline,Baseline,20,42,19.579462470496463,13.425003122051443
Baseline,Baseline,21,42,19.698068000685094,13.516498065824594
Baseline,Baseline,22,42,19.70855501903032,13.492637303346648
Baseline,Baseline,23,42,19.77562108828145,13.65740776816362
Baseline,Baseline,24,42,19.961827510518294,13.766074947949031
Baseline,Baseline,25,42,20.02802684716834,13.778135707040699
Baseline,Baseline,26,42,20.05183907114808,13.763008149630329
Baseline,Baseline,27,42,20.17409461658471,13.838952600655446
Baseline,Baseline,28,42,20.24569852335144,13.820141453931264
Baseline,Baseline,29,42,20.321790160804333,13.830286326747911
Baseline,Baseline,30,42,20.34705719669063,13.866545398777323
Baseline,Baseline,31,42,20.398027976844357,13.800625306249396
Baseline,Baseline,32,42,20.413777546642457,13.717053839467267
Baseline,Baseline,33,42,20.618385035968846,13.791990736378368
Baseline,Baseline,34,42,20.713512871329026,13.82025986980618
